127.0.0.1 - - [25/Jan/2023:13:56:10 -0300] "\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03\xB6\xBC\xF9\xE42Y\xBDj\x00#\xE4\xCA5h\x90\xDE\x1AX]\x1E\xCB\xC4\xE3` \xC8\xA6\xF7\x9E" 400 157 "-" "-"
127.0.0.1 - - [25/Jan/2023:13:56:10 -0300] "\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03\x92SxM\x14\xE2d\xDF\x1E_\xAAx\xFE\xEE\xFC\xECKzc\x85\xA0\x96\x9AH\xE8\xAD\x85\xC3\x02\xD6\x03\xA6 \xB0}\x87\xDD\x01)\xE6\xBE\x14\x02>dX,\xC5\xB0\xE9\x082\xC4\x1B\x84\xC7\xD1\xE09\xDBd(16\x8D\x00 **\x13\x01\x13\x02\x13\x03\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x13\xC0\x14\x00\x9C\x00\x9D\x00/\x005\x01\x00\x01\x93\xBA\xBA\x00\x00\x00\x1B\x00\x03\x02\x00\x02\x00" 400 157 "-" "-"
127.0.0.1 - - [25/Jan/2023:13:56:10 -0300] "\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03<7'\xFB_\xB9\x0FM;F%le\x88n\xD5\x026x\xBA'!3B\x1C,\xBF\x9B\xD8V\xC2\x8E \xD6Z" 400 157 "-" "-"
127.0.0.1 - - [25/Jan/2023:13:56:10 -0300] "\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03\x19\x1B\xFA\x17\xFF\x0F\x16\xA5\xCA\xA7\xB0\x17\xAFb\x9D\xBB\xD5\xDC\xF2^\x09\xD8\x16\xEFbnY\x8D\xCE\xFF\xBE\x05 ml\x00\x8C\xE9\x06\x01\xA1w*z7\xA5\xDA\xB2\xA9\x03\x817B=A\xE3{\x7FC\xEFD\xC0\xED\xFEA\x00 JJ\x13\x01\x13\x02\x13\x03\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x13\xC0\x14\x00\x9C\x00\x9D\x00/\x005\x01\x00\x01\x93\x8A\x8A\x00\x00Di\x00\x05\x00\x03\x02h2\x00\x1B\x00\x03\x02\x00\x02\x00" 400 157 "-" "-"
127.0.0.1 - - [25/Jan/2023:13:56:10 -0300] "\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03]?\x9EN\xC2Y\xB8KO\xC1\x01\xF4 F8\x07U\xB9\x99\xBF\x86u\xCC\x115\xA3\x06\xFD\xC0\x8B\xE5\xF5 m\xEB\x02[({\xC5\xB0\x07\xDBr\x0F\xBD\x9F$k\x0B{E\xD0\xD3\xE7\x08@\xB8\xB5>U\xE6\x16\xAD7\x00 zz\x13\x01\x13\x02\x13\x03\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x13\xC0\x14\x00\x9C\x00\x9D\x00/\x005\x01\x00\x01\x93JJ\x00\x00\x003\x00+\x00)\xAA\xAA\x00\x01\x00\x00\x1D\x00 mb\xA8\x9C\x90Q\xAC\x90Zd\x93p\xBE\x9F\xBC\xF1\xB2\xB6\x97\xB2]\x1F@\xCA\xA2\x82#Y\x90\xBB\x22t\x00\x05\x00\x05\x01\x00\x00\x00\x00\x00\x17\x00\x00\xFF\x01\x00\x01\x00\x00+\x00\x07\x06\x8A\x8A\x03\x04\x03\x03\x00\x10\x00\x0E\x00\x0C\x02h2\x08http/1.1\x00" 400 157 "-" "-"
127.0.0.1 - - [25/Jan/2023:13:56:11 -0300] "\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03B\xAC\xBE\x89\x7F_\xB9\xB7\xB4:\xF1\x1DY\x0F\xBA:5N\x8F\xB3X\xEF\xD6\xF2!\x17)\xA1\x04\x89\xB3\xF4 \xF3`\xED^\x1B\xA3\x8F!?\xB7\xF2s\x0B;\xAF\x03i`\x97\xBE\x8B}\xDF\xCA\xF7\xD5I\x85\xE0\xC9x\xEB\x00 \xFA\xFA\x13\x01\x13\x02\x13\x03\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x13\xC0\x14\x00\x9C\x00\x9D\x00/\x005\x01\x00\x01\x93" 400 157 "-" "-"
127.0.0.1 - - [25/Jan/2023:13:56:48 -0300] "GET / HTTP/1.1" 200 615 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
127.0.0.1 - - [25/Jan/2023:13:56:48 -0300] "GET /favicon.ico HTTP/1.1" 404 555 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
127.0.0.1 - - [25/Jan/2023:13:56:55 -0300] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
127.0.0.1 - - [25/Jan/2023:13:59:13 -0300] "GET / HTTP/1.1" 200 754 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
127.0.0.1 - - [25/Jan/2023:13:59:13 -0300] "GET /css/styles.css HTTP/1.1" 200 27 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
127.0.0.1 - - [25/Jan/2023:14:06:37 -0300] "GET / HTTP/1.1" 200 793 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
127.0.0.1 - - [25/Jan/2023:14:06:37 -0300] "GET /css/styles.css HTTP/1.1" 304 0 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
127.0.0.1 - - [25/Jan/2023:14:06:37 -0300] "GET /js/main.js HTTP/1.1" 200 27 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
